passengerId1,passengerId2,numberOfFlightsTogether
5414,5456,8
9954,9992,8
953,6084,8
6591,9862,8
5101,12323,8
746,755,8
2717,2783,8
1498,4933,8
392,7898,8
8584,9522,8
739,771,8
5706,5724,8
3544,4674,8
8256,8269,8
392,7209,8
2783,2789,8
1432,2776,8
2544,8006,8
11514,11537,8
1947,13819,8
4016,4042,8
2939,5456,8
4009,5414,8
3503,4249,8
1343,9752,8
5096,10767,8
9653,12389,8
363,6519,8
759,771,8
915,975,8
1371,4025,8
780,1033,8
625,1635,8
2458,3635,8
4827,8368,8
8363,8961,8
5696,7076,8
5766,5795,8
7082,8209,8
1677,2926,8
4449,9619,8
1849,4034,8
191,1715,8
4335,7727,8
7721,13221,8
308,309,8
740,759,8
2137,2182,8
2759,2789,8
3679,3698,8
1482,2783,8
2734,2993,8
6077,6096,8
6001,6064,8
1208,8190,8
1464,10975,8
5380,13731,8
650,684,8
1464,1484,8
2939,2941,8
3971,3994,8
2511,2959,8
4957,6067,8
5332,5869,8
9664,9684,8
728,736,8
378,758,8
1272,2556,8
5724,5761,8
5869,6523,8
733,763,8
5724,5798,8
2780,5912,8
5481,6064,8
2294,6064,8
5116,6111,8
7662,7872,8
3356,7810,8
2548,2588,8
4353,4373,8
3851,4584,8
5769,5798,8
4554,4945,8
9619,9620,8
739,760,8
959,2993,8
6827,6896,8
191,5522,8
10741,10780,8
7162,10819,8
724,759,8
4184,7733,8
191,7209,8
486,6030,8
333,369,8
3937,3963,8
1371,5423,8
7506,9704,8
8679,9522,8
8006,9777,8
7860,8363,8
4359,9997,8
10576,10616,8
11450,13731,8
733,772,8
364,1053,8
610,3123,8
3941,3980,8
1371,2717,8
3735,7605,8
1849,7209,8
6113,7747,8
1343,8445,8
6453,6474,8
1646,7605,8
4249,6707,8
10631,10652,8
855,10576,8
5954,5966,8
2354,4774,8
5668,9410,8
11211,12323,8
6012,6070,8
625,2906,8
258,8519,8
935,1250,8
1369,1371,8
2886,3093,8
1865,4990,8
1733,5332,8
9330,9353,8
2185,9441,8
8595,9441,8
4013,4052,8
2773,4969,8
3590,8190,8
9369,9395,8
10760,10798,8
356,10067,8
1482,1484,8
4009,4016,8
4359,4398,8
1464,2941,8
4373,5481,8
5720,5724,8
5720,5771,8
2544,4632,8
1548,3937,8
3356,9069,8
10719,10778,8
5800,5912,8
4316,6017,8
3278,6813,8
10720,10741,8
356,12323,8
334,362,8
755,760,8
3309,3399,8
2969,4395,8
6017,6063,8
7379,8307,8
3021,8562,8
6208,11280,8
12516,12594,8
337,375,8
366,739,8
1484,4053,8
5503,5522,8
10702,10716,8
309,1043,8
9906,10179,8
1562,8579,8
4070,10767,8
2941,4339,8
6870,6897,8
9904,9985,8
733,746,8
5711,5755,8
3090,7747,8
8363,10661,8
993,10512,8
2548,8057,8
739,772,8
752,755,8
1828,1853,8
1677,7868,8
942,2185,8
2776,5411,8
1646,7685,8
1673,6208,8
4070,11871,8
13221,13564,8
759,763,8
3442,3472,8
7505,8158,8
8562,9522,8
5634,6733,8
1265,1291,8
6813,8158,8
275,3180,8
4083,4364,8
6100,6447,8
2760,2780,8
4607,4969,8
2323,2797,8
6707,6813,8
3153,3356,8
10212,12210,8
2111,2182,8
2244,2278,8
928,2759,8
975,4399,8
10356,10384,8
11450,13781,8
701,733,8
1029,1031,8
2354,6560,8
721,774,8
4017,4052,8
5964,5993,8
8584,8596,8
9385,9395,8
4034,9066,8
9833,10509,8
6777,11296,8
368,772,8
1608,1616,8
2959,4042,8
479,2065,8
6783,9828,8
1966,11276,8
613,10398,8
2548,7194,8
1240,1263,8
2511,2969,8
141,3554,8
392,4451,8
6061,6067,8
1208,3503,8
7509,7724,8
211,10368,8
11450,11633,8
4609,4646,8
6017,6039,8
10017,10037,8
4170,7747,8
344,380,8
167,2937,8
822,4556,8
2588,5101,8
119,139,8
4052,4059,8
5744,5788,8
2773,6069,8
7505,9069,8
9610,9679,8
4514,8595,8
435,859,8
752,772,8
727,733,8
7820,7868,8
5789,7872,8
1208,7605,8
7209,7898,8
610,650,8
930,1314,8
5766,5787,8
4674,4942,8
4820,6729,8
479,9522,8
205,275,8
750,755,8
4611,4665,8
592,1246,8
2532,4584,8
739,759,8
2221,2263,8
2573,2600,8
4614,4682,8
4339,5426,8
4097,4152,8
2759,3576,8
382,1056,8
241,7579,8
4016,4017,8
1074,2857,8
975,2759,8
2759,2969,8
4384,7508,8
3093,3590,8
7662,8190,8
10430,10439,8
392,1637,8
10716,10719,8
5093,8353,8
733,740,8
4012,4059,8
5359,5383,8
1429,2957,8
7463,7477,8
1631,1782,8
5330,9699,8
4713,6317,8
2111,2137,8
2972,2988,8
5789,7866,8
6805,9098,8
10806,10900,8
919,10229,8
716,759,8
751,752,8
3418,7605,8
10720,10780,8
768,772,8
2901,2910,8
2941,2969,8
4069,4346,8
3544,4969,8
7741,7778,8
75,6777,8
368,1053,8
2345,2354,8
2667,2699,8
8965,8995,8
479,2201,8
4737,9421,8
739,746,8
2717,2939,8
2857,4249,8
10016,10017,8
2231,4820,8
1464,11917,8
10373,10394,8
4017,4059,8
4209,5959,8
3590,5423,8
211,281,8
1023,1056,8
3609,3615,8
625,1646,8
3172,3405,8
4827,10022,8
5201,9101,8
2620,2645,8
2886,2939,8
2336,4202,8
2926,7914,8
1475,7747,8
4012,4042,8
443,1692,8
1822,4451,8
6548,10394,8
1403,1451,8
8589,8598,8
1715,7560,8
1677,5423,8
746,752,8
739,740,8
905,910,8
2169,2185,8
5423,5490,8
1849,2336,8
942,8010,8
1562,1678,8
2926,3418,8
4013,4080,8
1371,4053,8
756,7508,8
10089,10095,8
5748,6208,8
4066,4339,8
165,3615,8
2941,4012,8
1607,1858,8
1005,2719,8
7318,8297,8
2926,3278,8
3153,7505,8
3286,3356,8
6113,8562,8
4917,11225,8
1865,4969,8
5668,8158,8
479,3021,8
5748,11280,8
1002,1073,8
4674,4990,8
5668,8461,8
1677,3503,8
2973,7860,8
3029,4650,8
932,11808,8
1146,1160,8
281,5737,8
2024,2945,8
2960,10389,8
12530,12567,8
4316,4339,8
4399,5456,8
1246,9828,8
4816,4917,8
724,755,8
2412,2443,8
2759,2783,8
4025,4388,8
1696,4044,8
4969,6017,8
7505,10325,8
4170,6113,8
479,4170,8
1240,5021,8
761,764,8
2905,2911,8
1444,4346,8
1884,4969,8
7039,8158,8
3275,3432,8
4016,5046,8
484,497,8
752,763,8
2175,2197,8
2674,2699,8
1982,4076,8
2294,5481,8
2185,10975,8
2588,11211,8
324,328,8
391,1046,8
2717,2789,8
4552,5668,8
2926,4249,8
248,293,8
759,760,8
749,758,8
2223,2284,8
4816,4827,8
7713,7822,8
479,7747,8
2273,2279,8
662,920,8
1320,4744,8
1677,8158,8
1146,3147,8
10022,10089,8
11101,11143,8
10909,13605,8
1464,4044,8
7866,7868,8
4541,9540,8
10022,11225,8
4854,10989,8
724,733,8
2425,2500,8
4632,4641,8
1337,4053,8
5706,5771,8
5459,9063,8
1053,1056,8
774,1043,8
4432,4487,8
1337,2759,8
477,950,8
4451,10764,8
10937,11074,8
14018,14060,8
751,771,8
1056,1095,8
1464,1482,8
368,1095,8
8979,8983,8
8562,8679,8
11808,11853,8
4053,4399,8
4275,7520,8
5761,5798,8
6004,6027,8
2717,6001,8
4373,4674,8
10762,10767,8
366,368,8
733,759,8
4319,4400,8
2645,5978,8
1646,3735,8
9321,9369,8
9127,11280,8
859,894,8
1106,1173,8
226,670,8
4309,4373,8
2212,3589,8
5761,5769,8
5946,5978,8
2926,5423,8
3418,6707,8
205,274,8
1635,1646,8
4066,4364,8
4827,6208,8
746,771,8
751,759,8
3615,3637,8
4044,4364,8
7243,10325,8
356,7721,8
724,752,8
1330,2932,8
9118,9127,8
7505,7810,8
6707,10349,8
2867,2959,8
7243,8158,8
3286,6805,8
10767,10785,8
4080,4364,8
3867,4546,8
407,975,8
2482,3286,8
2773,4990,8
5869,6507,8
2441,10145,8
793,1038,8
4614,4700,8
5412,5435,8
1635,7662,8
10016,10037,8
10714,10785,8
75,11276,8
167,10899,8
8068,8093,8
2174,7098,8
435,1074,8
4012,4016,8
1747,3963,8
4249,7605,8
1963,1994,8
5491,6017,8
11729,11730,8
5111,7661,8
721,731,8
3920,3963,8
1063,3967,8
2789,2941,8
4373,5491,8
6853,6854,8
5590,6294,8
1666,2511,8
126,2498,8
1482,1818,8
5724,5744,8
5922,5946,8
7747,8679,8
364,366,8
755,763,8
709,791,8
4217,4248,8
1666,2941,8
6067,6857,8
429,4852,8
9738,11508,8
701,752,8
4032,4376,8
6069,6071,8
1701,3012,8
1012,3102,8
2857,5411,8
8194,8424,8
10719,10785,8
10576,10899,8
1971,1976,8
2906,2939,8
4395,5456,8
4774,6166,8
2911,2972,8
4042,4052,8
4674,6854,8
1677,10346,8
2201,7747,8
701,739,8
5668,5819,8
7229,7240,8
8289,8353,8
1715,6729,8
8353,10310,8
2717,5922,8
3405,3490,8
5912,5997,8
4034,7898,8
3309,3332,8
4309,4353,8
5423,7662,8
3924,6030,8
1696,2867,8
1484,4025,8
5590,5596,8
6039,6063,8
6052,6447,8
3590,8158,8
10541,10616,8
1164,5459,8
10244,13163,8
3078,3090,8
4042,4059,8
2959,4395,8
6857,6892,8
8403,8411,8
9493,11225,8
5592,6752,8
9026,9097,8
191,2231,8
2857,10334,8
9600,9862,8
7706,7809,8
3153,7810,8
5522,6729,8
6084,8363,8
10714,10719,8
4309,4388,8
4044,4339,8
975,4053,8
8010,8149,8
7209,9066,8
8556,9101,8
356,9540,8
763,771,8
4010,4046,8
4226,4253,8
2284,3502,8
6447,8037,8
2857,5668,8
1849,7898,8
9363,10046,8
5111,13296,8
733,760,8
928,930,8
1503,1598,8
2959,4399,8
6043,6089,8
7868,7872,8
3153,9069,8
1696,4011,8
759,772,8
1696,2941,8
1617,3991,8
4441,5544,8
2550,3173,8
1097,1254,8
1635,3590,8
2960,7799,8
4034,9700,8
3968,9688,8
10764,10778,8
833,888,8
1651,4285,8
2575,6904,8
6293,7661,8
6783,9752,8
7209,10762,8
4025,4316,8
2789,4080,8
2511,4399,8
2857,3418,8
7220,10313,8
10756,10799,8
10702,10785,8
1343,9828,8
5093,10310,8
2655,2699,8
477,2734,8
7727,7780,8
3278,7662,8
10481,10494,8
3021,8584,8
4441,5546,8
1715,5503,8
1635,5482,8
1635,8190,8
1769,6857,8
2231,7209,8
1365,1608,8
5737,5789,8
8037,8093,8
1052,1158,8
4012,4364,8
191,382,8
3367,4632,8
10352,10373,8
11137,11176,8
7661,13249,8
360,392,8
2236,2295,8
5404,5431,8
362,395,8
701,759,8
4016,4052,8
2511,2939,8
8209,8289,8
4373,6854,8
5867,7379,8
10017,10083,8
10767,10778,8
1464,9441,8
6743,9721,8
719,778,8
2922,2927,8
274,3180,8
975,2717,8
5564,8146,8
3021,8596,8
211,266,8
721,778,8
2790,5711,8
3590,7820,8
4170,9376,8
5111,13249,8
2701,4650,8
8078,9363,8
6729,7209,8
244,289,8
1971,1984,8
4012,4013,8
2759,2939,8
2941,4083,8
6447,8068,8
10762,10798,8
2117,7579,8
915,1314,8
2294,6017,8
7253,7291,8
2719,9586,8
1020,1437,8
10716,10764,8
8596,9522,8
798,10308,8
7721,9540,8
525,584,8
716,752,8
441,1635,8
2723,4142,8
9282,10899,8
7721,13564,8
716,739,8
1314,1337,8
438,1619,8
2231,6729,8
4235,5416,8
11909,11910,8
716,755,8
2111,2131,8
2544,2596,8
2655,2667,8
3332,3343,8
10407,10439,8
407,1666,8
2867,4025,8
2759,4674,8
2776,4468,8
7243,7505,8
3309,8539,8
4016,4080,8
2939,4042,8
364,392,8
5734,5744,8
2269,2488,8
4969,5491,8
6824,6832,8
5787,5989,8
7618,8190,8
1343,2097,8
1643,2544,8
5422,5434,8
7039,7082,8
1598,3940,8
4205,4212,8
407,4395,8
4316,4969,8
7114,7194,8
3590,5482,8
9954,9988,8
731,778,8
5706,5769,8
2294,4674,8
3330,3735,8
5116,7191,8
5789,7605,8
5201,8446,8
2667,2674,8
4013,4017,8
1371,2759,8
95,3330,8
1208,7866,8
2857,7605,8
7810,9098,8
6591,8810,8
1917,3802,8
1677,6084,8
356,13564,8
802,852,8
716,733,8
2201,8562,8
2185,8595,8
10541,10899,8
739,751,8
5740,5742,8
1884,4942,8
2504,7162,8
5564,7612,8
10022,10095,8
479,8584,8
7661,13296,8
3154,3172,8
290,602,8
1484,4042,8
5789,8190,8
2185,4514,8
309,313,8
3028,3064,8
5953,5966,8
9340,9363,8
9906,9988,8
1677,8961,8
11649,11687,8
8040,11939,8
3413,3414,8
4827,4917,8
4483,10478,8
5212,7099,8
1542,1561,8
4011,4364,8
5720,5734,8
6730,6769,8
5055,6013,8
3503,7820,8
10037,10083,8
92,9441,8
3361,6777,8
774,778,8
755,759,8
6063,6064,8
3920,5467,8
4025,4399,8
4391,11192,8
2222,2263,8
95,2326,8
2531,2600,8
2717,2959,8
2969,4399,8
975,4025,8
95,1677,8
10764,10767,8
10833,10899,8
1464,9063,8
8961,11290,8
940,993,8
917,937,8
5081,9539,8
751,755,8
247,3421,8
5491,6064,8
7801,8579,8
12323,13564,8
915,928,8
901,975,8
368,746,8
1484,2969,8
3590,6707,8
9699,9700,8
2841,4774,8
2544,9068,8
517,10757,8
724,771,8
2759,2959,8
5468,5484,8
831,852,8
1766,2905,8
10719,10767,8
313,385,8
759,1056,8
979,1377,8
5744,5761,8
950,5769,8
3093,5423,8
211,1677,8
805,894,8
308,385,8
2260,2288,8
5775,5792,8
5612,6584,8
5546,6805,8
10702,10778,8
2378,10937,8
10596,11610,8
610,684,8
4013,4042,8
4025,4395,8
4969,5481,8
1677,3330,8
6813,8190,8
2482,2973,8
1475,9522,8
798,860,8
2131,2137,8
2411,2489,8
5435,5467,8
5724,5769,8
1677,5789,8
4816,10022,8
334,1007,8
2247,2262,8
4336,4364,8
2941,4059,8
5724,5788,8
5927,5934,8
6039,6064,8
2886,5911,8
2926,8158,8
5482,5789,8
6750,7662,8
2482,8363,8
10937,11046,8
724,739,8
760,771,8
2773,4942,8
5720,5954,8
311,1850,8
4053,4316,8
4969,6809,8
5482,6813,8
3677,9063,8
746,759,8
930,975,8
1001,1056,8
4009,4364,8
1613,5668,8
1208,7872,8
92,1917,8
10325,10377,8
6733,9101,8
2065,3078,8
407,2789,8
2969,4388,8
1635,7605,8
3021,8679,8
605,659,8
2531,2573,8
2655,2674,8
1053,3421,8
4080,4339,8
5966,6896,8
368,374,8
2867,4053,8
5590,6773,8
1624,2975,8
10714,10764,8
354,1031,8
2734,3120,8
2131,2182,8
4283,4441,8
3275,6053,8
364,1095,8
364,772,8
4373,5443,8
4850,10389,8
3802,9069,8
5207,8735,8
4170,8596,8
3298,7007,8
10439,10548,8
2964,6591,8
6323,6535,8
356,13221,8
740,752,8
4646,4656,8
6855,6870,8
6813,7866,8
3021,8120,8
1343,1678,8
755,772,8
2262,4226,8
7162,9766,8
10334,10352,8
930,1482,8
2867,2969,8
4399,5490,8
1342,4092,8
870,5575,8
10714,10767,8
1314,1371,8
441,1677,8
5310,5370,8
5788,5798,8
2294,5491,8
8128,8684,8
10764,10785,8
5016,11007,8
9540,13564,8
716,771,8
368,739,8
9063,10975,8
733,751,8
719,731,8
752,771,8
2134,2190,8
441,625,8
10714,10778,8
