Passenger 1 ID,Passenger 2 ID,Number of Flights Together
998,2479,5
690,9539,5
9480,11571,5
6097,8216,5
9653,12553,5
3632,7902,5
1753,10762,5
212,248,5
610,624,5
324,5993,5
6063,6864,5
5744,6833,5
6872,6884,5
6833,6872,5
8010,9770,5
2970,7671,5
4366,5815,5
2158,6519,5
935,5711,5
5490,6294,5
4395,6876,5
6326,6807,5
1053,2939,5
12316,12376,5
3962,4090,5
3634,3653,5
9402,9523,5
75,10667,5
5718,5725,5
13471,13492,5
324,1053,5
392,1095,5
758,764,5
362,709,5
701,747,5
5446,5467,5
7776,8786,5
697,7469,5
494,3911,5
628,3155,5
2611,2695,5
1056,3411,5
4478,5958,5
4362,4371,5
4331,4396,5
5404,8105,5
6289,7894,5
2209,2231,5
2205,2240,5
13277,13579,5
4249,4261,5
9465,9992,5
1779,5278,5
1288,2976,5
9381,9983,5
9721,9932,5
5377,10871,5
940,1315,5
993,2988,5
2811,11723,5
5416,6065,5
3410,3444,5
3413,3483,5
3461,3477,5
3151,3182,5
374,2106,5
681,6051,5
1482,6452,5
4770,13284,5
183,8057,5
7555,13249,5
42,2588,5
7191,9395,5
380,3645,5
5096,12508,5
10212,12203,5
3506,8273,5
3546,9696,5
10313,10384,5
728,1296,5
479,10541,5
5479,6080,5
5538,7864,5
4335,9252,5
3759,5731,5
954,1196,5
1666,5404,5
4025,5491,5
2717,4013,5
2717,5456,5
2867,4339,5
2789,4053,5
4364,5435,5
3540,3547,5
735,5022,5
3524,3600,5
2068,7636,5
1020,4275,5
4113,5238,5
848,2755,5
5579,7872,5
1940,3503,5
3116,3141,5
2693,4852,5
9072,9083,5
1673,9389,5
6286,10460,5
2062,8653,5
9331,11225,5
1343,5742,5
2581,6777,5
6915,7508,5
4038,4400,5
4029,4063,5
1548,1643,5
9672,9690,5
4329,9649,5
9622,9684,5
2464,2484,5
6750,7872,5
3015,5800,5
135,2454,5
5855,6365,5
912,1358,5
912,2222,5
2335,3635,5
5614,5653,5
8237,8576,5
139,6758,5
10770,10798,5
2522,2567,5
211,3180,5
1503,1569,5
5423,8048,5
6127,8260,5
3693,8194,5
8132,10340,5
4070,12389,5
622,2563,5
6839,6889,5
3544,6897,5
1619,5744,5
3300,6805,5
451,1053,5
15112,15160,5
121,2390,5
6515,9523,5
5702,5731,5
707,773,5
1038,1095,5
726,740,5
716,773,5
1035,1072,5
737,773,5
1025,1053,5
5406,5467,5
1988,5418,5
10432,11046,5
734,792,5
14726,14777,5
14746,14768,5
2256,2257,5
7747,8257,5
4269,4285,5
6486,8146,5
5119,5161,5
3977,4021,5
962,1377,5
1322,1394,5
945,1315,5
2588,5007,5
2112,13221,5
7194,13296,5
8057,11572,5
13284,13564,5
6323,11211,5
3631,11562,5
4167,4384,5
5307,5325,5
8521,10382,5
7340,7767,5
4852,4867,5
3204,3209,5
894,5139,5
1563,11171,5
1232,6591,5
3662,4148,5
2033,5584,5
677,695,5
3802,3883,5
4363,10536,5
6001,9177,5
1254,3117,5
5920,8211,5
1850,13276,5
915,4364,5
4042,5478,5
4080,5448,5
4044,5431,5
2941,5401,5
1464,4013,5
1464,5431,5
5055,11923,5
7636,9833,5
2062,2406,5
5048,5370,5
993,6409,5
4946,4969,5
1498,4927,5
4607,4656,5
5372,5733,5
901,1940,5
6365,9028,5
1528,4827,5
2062,6317,5
7881,10015,5
2701,4467,5
783,3029,5
3443,4586,5
288,1164,5
1587,2867,5
7363,7389,5
2236,2965,5
11407,11919,5
9634,9664,5
9602,9610,5
17,7064,5
6815,8235,5
778,3666,5
3028,5503,5
1822,4774,5
704,3484,5
4543,9386,5
1685,1688,5
2614,3636,5
2928,3635,5
11834,13404,5
1503,2570,5
1263,4200,5
8202,8280,5
9441,10179,5
8775,9098,5
1560,1594,5
4023,12695,5
2173,2190,5
5731,5923,5
6827,6874,5
6096,6844,5
5954,6858,5
3120,5977,5
6872,6896,5
4373,6869,5
1531,4726,5
4700,5911,5
4321,7540,5
3477,6294,5
139,2390,5
173,2004,5
121,3653,5
1051,1056,5
763,781,5
733,743,5
705,751,5
749,755,5
743,793,5
381,739,5
3284,6524,5
10937,11727,5
11727,12005,5
1583,2605,5
5963,10043,5
7469,11514,5
1432,1484,5
1056,3446,5
4340,4377,5
4344,4377,5
2150,3718,5
14731,14741,5
2228,2274,5
10449,10454,5
10401,10433,5
3223,9049,5
6878,8171,5
337,5216,5
1622,2389,5
270,1491,5
10484,10908,5
512,6056,5
5487,13194,5
9856,11099,5
2825,8659,5
1923,1942,5
3582,3598,5
6565,6600,5
9512,10184,5
10454,10548,5
6116,11090,5
3440,3471,5
218,221,5
3405,3491,5
603,2197,5
876,3293,5
6857,7060,5
12323,13218,5
6067,8810,5
6323,13561,5
6293,7099,5
2780,7450,5
7172,7192,5
1389,9069,5
1389,7505,5
4084,4331,5
4020,4398,5
4020,4022,5
7733,7800,5
5479,7502,5
1963,2075,5
3360,3367,5
9370,9377,5
3590,10346,5
614,4364,5
614,4269,5
2959,5481,5
1666,5401,5
928,5443,5
1484,4011,5
633,5207,5
3233,5079,5
3577,3578,5
4404,8501,5
7810,8735,5
554,3442,5
5226,8594,5
1769,3928,5
4946,4972,5
9540,9766,5
1046,4967,5
5652,9690,5
675,3994,5
95,5566,5
2906,5566,5
147,3920,5
9714,10954,5
9107,9136,5
3263,5690,5
8368,8653,5
9421,11225,5
13863,13869,5
4027,4056,5
7153,10862,5
3410,4209,5
9576,11136,5
9640,9642,5
9610,9628,5
9619,9660,5
4852,9634,5
9611,9640,5
989,1381,5
191,1818,5
11140,11157,5
338,419,5
938,2684,5
2963,3509,5
7718,8979,5
8969,8993,5
8958,8979,5
795,11014,5
1138,8102,5
6731,12600,5
1287,1587,5
255,2573,5
1607,2713,5
92,9466,5
509,7643,5
3042,3052,5
219,284,5
2160,2162,5
2115,2116,5
888,4728,5
167,3024,5
3919,7346,5
2549,7451,5
6869,6893,5
6847,6864,5
6824,6893,5
3294,3651,5
6824,6896,5
564,594,5
92,316,5
457,1241,5
5490,8485,5
5414,6010,5
5911,8068,5
1053,8485,5
451,5668,5
1382,7535,5
6251,9875,5
7811,8998,5
5707,5758,5
5707,5741,5
374,1013,5
313,374,5
362,1057,5
797,1013,5
731,755,5
719,771,5
5410,5496,5
4373,5459,5
4850,7768,5
2636,3242,5
7862,12069,5
4940,8642,5
1074,2867,5
2511,3152,5
5998,12899,5
757,1468,5
769,1729,5
10461,10481,5
10434,10453,5
2201,8257,5
2728,3924,5
6478,8137,5
9478,13579,5
1075,9613,5
2541,3021,5
4204,5060,5
4209,4233,5
11687,11784,5
9954,11284,5
2702,7679,5
756,7713,5
9991,10591,5
446,6626,5
5012,13862,5
994,1482,5
5048,6512,5
4897,5867,5
4458,7246,5
1684,2719,5
9513,9581,5
4687,5447,5
5007,13564,5
5012,7430,5
11946,11958,5
8165,8200,5
233,258,5
8142,8180,5
3046,4167,5
1162,9179,5
7667,10516,5
3214,10320,5
7131,9640,5
439,3346,5
6865,6978,5
6622,10130,5
1624,5334,5
7220,10371,5
6052,6707,5
3802,4850,5
8017,9282,5
2408,4420,5
599,5643,5
1772,13549,5
4711,13378,5
2759,4017,5
2789,4388,5
4395,5440,5
4011,5419,5
3540,3571,5
3516,3599,5
9828,9833,5
53,2406,5
1963,4314,5
2288,3523,5
8406,9951,5
5005,9053,5
1240,1288,5
5799,7696,5
202,7613,5
638,8196,5
1089,4270,5
1940,5566,5
3503,5579,5
1335,6030,5
1451,13365,5
3620,3624,5
1283,8912,5
3624,3635,5
557,4689,5
7950,10015,5
9359,10460,5
10015,10328,5
1323,4016,5
783,3616,5
75,11272,5
226,752,5
2565,9441,5
9777,12582,5
1572,5455,5
11136,11515,5
9576,11515,5
9620,9664,5
9997,10943,5
683,10015,5
7868,8190,5
4497,5411,5
10776,10778,5
497,5330,5
148,7209,5
80,5623,5
1020,5611,5
2033,3990,5
8988,12057,5
917,10802,5
11855,11871,5
1419,13564,5
4718,8174,5
11821,11853,5
7862,11376,5
628,6731,5
8988,10384,5
4850,10384,5
2510,2573,5
266,331,5
1598,3924,5
6805,9466,5
9410,10325,5
4283,5644,5
7810,8775,5
7643,9069,5
3278,10325,5
1829,9653,5
9152,9653,5
3875,7451,5
8132,11593,5
2294,6817,5
5706,6817,5
5761,6408,5
6824,6839,5
6878,6885,5
6047,6848,5
5443,6889,5
1865,6866,5
438,997,5
8040,8411,5
1888,7529,5
3147,4765,5
5219,5530,5
9699,13898,5
363,8751,5
732,2939,5
9512,9524,5
6251,9524,5
2662,7657,5
15112,15126,5
1740,4711,5
139,2026,5
5725,5800,5
755,793,5
313,328,5
368,1013,5
730,749,5
705,778,5
739,758,5
1044,1056,5
362,1023,5
712,761,5
58,2869,5
2669,3967,5
4632,4643,5
14701,14705,5
2202,2251,5
2260,2282,5
10407,10451,5
3223,6113,5
1162,8581,5
22,8562,5
281,9696,5
1032,11883,5
4444,8197,5
7068,11633,5
6148,12555,5
9495,9955,5
8545,8590,5
1315,4827,5
9243,9266,5
4464,4493,5
2214,4247,5
928,961,5
1315,2911,5
312,387,5
7602,7645,5
6059,12073,5
247,679,5
690,3122,5
240,2626,5
2244,9577,5
760,3979,5
2196,8752,5
356,11211,5
9994,13284,5
6067,13561,5
42,356,5
1012,7406,5
398,9069,5
6749,7823,5
344,3569,5
3309,3329,5
5919,5927,5
8446,9576,5
10384,10397,5
10313,10394,5
281,10396,5
10352,10353,5
2960,10397,5
7747,10899,5
167,3090,5
12582,13549,5
1371,4083,5
930,4011,5
1464,5448,5
4011,5404,5
2328,2429,5
1240,8574,5
627,645,5
2560,4945,5
443,3572,5
4991,4998,5
5584,8209,5
6786,7866,5
5509,8209,5
393,1335,5
5203,6689,5
3132,3178,5
6336,13365,5
210,237,5
343,2628,5
9369,10015,5
637,2054,5
2718,8165,5
7718,9620,5
2579,2599,5
10350,10833,5
12109,12198,5
1651,4430,5
391,6092,5
1643,1651,5
3937,4430,5
17,11041,5
2231,3028,5
3187,9645,5
9758,10576,5
912,972,5
2922,2946,5
5759,5959,5
9237,9252,5
5604,5614,5
5606,5630,5
5632,5637,5
10704,10731,5
10703,10770,5
10726,10788,5
211,1673,5
3084,3089,5
7813,8363,5
5668,10107,5
2107,2165,5
833,5417,5
7770,7820,5
501,7995,5
3157,3180,5
276,2565,5
950,5706,5
950,6896,5
6063,6872,5
1024,8399,5
4127,4427,5
3220,4774,5
3931,4492,5
592,594,5
5757,5765,5
687,1134,5
4395,5426,5
6242,8073,5
6294,8068,5
4627,6876,5
5777,5782,5
334,730,5
334,759,5
709,758,5
705,766,5
746,781,5
719,797,5
1007,1021,5
5420,5476,5
2283,2286,5
169,2021,5
11535,11727,5
747,763,5
762,799,5
905,2160,5
351,1205,5
3902,3932,5
1252,2620,5
10474,10488,5
10438,10445,5
10407,10438,5
10402,10452,5
4170,8006,5
2123,2530,5
9478,13215,5
721,7120,5
4249,7679,5
5162,11067,5
1626,13620,5
5278,11099,5
2106,2178,5
7253,9903,5
756,6752,5
7193,8810,5
6743,10591,5
3300,4764,5
18,1656,5
1248,1369,5
913,1310,5
951,3152,5
3650,5764,5
7590,9505,5
3421,3483,5
263,272,5
3414,3440,5
286,295,5
1752,4105,5
5253,7914,5
1028,2035,5
7661,10244,5
4685,12323,5
1769,7555,5
5754,6067,5
7721,13561,5
42,12323,5
2112,11211,5
394,7597,5
570,585,5
1963,2062,5
10539,10596,5
4814,4874,5
5438,10234,5
9753,9755,5
5907,5922,5
854,3506,5
3418,10389,5
6084,10384,5
4217,10058,5
9777,10497,5
237,2489,5
863,7098,5
1666,4016,5
1482,4053,5
2969,4080,5
1464,4373,5
13618,13680,5
779,10963,5
7825,11379,5
627,646,5
1769,6159,5
4541,7153,5
167,9766,5
4607,4630,5
1089,5361,5
901,5566,5
1208,5566,5
3330,5509,5
231,283,5
2108,6548,5
6953,11909,5
4816,8653,5
2054,10089,5
2062,7902,5
2062,7950,5
5748,10097,5
4675,5943,5
5043,6032,5
3292,3898,5
4534,5343,5
3821,3889,5
2100,3880,5
3861,3998,5
3861,4914,5
4069,5434,5
10454,12335,5
4553,9610,5
3950,4468,5
392,2841,5
9757,10576,5
11140,11187,5
3447,5611,5
9757,10535,5
1343,4483,5
4404,10690,5
5096,5368,5
6800,10683,5
1733,5855,5
1263,3322,5
2952,2957,5
941,2222,5
1358,2263,5
9980,9991,5
977,2928,5
977,2977,5
11729,11767,5
2545,2573,5
681,1287,5
3839,3858,5
8269,8277,5
2068,9466,5
1917,8158,5
594,3802,5
8269,8295,5
6778,7742,5
11045,11088,5
3503,7318,5
5414,12553,5
477,6039,5
477,6408,5
6008,6071,5
5761,6809,5
3576,5706,5
6814,6880,5
4674,6898,5
5798,6008,5
1833,4981,5
3345,3560,5
5711,6458,5
1740,6764,5
5738,5758,5
729,747,5
392,1001,5
1002,1051,5
726,733,5
721,763,5
724,781,5
760,799,5
701,727,5
719,763,5
8252,11514,5
1055,3012,5
739,743,5
11812,11834,5
14701,14786,5
10423,10473,5
10409,10454,5
4210,11867,5
3307,9620,5
391,9906,5
8024,10862,5
2292,6050,5
2391,11963,5
5564,7418,5
760,4606,5
4054,8042,5
2446,8213,5
1992,1993,5
4115,13525,5
1288,7530,5
9517,9586,5
4730,4744,5
289,2152,5
934,999,5
281,690,5
712,10205,5
2988,7186,5
2101,7186,5
1079,7983,5
559,5671,5
2746,2770,5
4217,5966,5
5307,5336,5
380,3999,5
3814,3818,5
446,4696,5
6720,9532,5
269,10613,5
10512,10559,5
1999,4031,5
5941,5963,5
2803,6428,5
1700,3346,5
6591,10478,5
2964,4917,5
3418,6084,5
10346,10396,5
1296,3432,5
4363,10661,5
5696,8266,5
237,8266,5
2174,4364,5
3243,10535,5
6987,11201,5
5920,9821,5
311,13276,5
4711,11307,5
4080,5435,5
975,4012,5
1314,4066,5
4083,5412,5
148,182,5
6805,6857,5
3502,3547,5
3556,3561,5
3545,3651,5
6036,8590,5
2288,5048,5
3368,7680,5
2528,6774,5
2528,3312,5
4628,4690,5
5001,5022,5
1317,3743,5
3077,9995,5
3141,3184,5
8962,8999,5
2532,8912,5
400,5530,5
1673,4737,5
3029,4453,5
4035,4497,5
2937,9223,5
4746,13391,5
2262,8964,5
5137,8013,5
1538,3208,5
4553,9686,5
300,9672,5
388,9672,5
11041,11360,5
484,9066,5
148,1822,5
11148,11183,5
4543,9380,5
920,972,5
2134,4610,5
11073,11361,5
8466,12515,5
2795,6508,5
8598,9282,5
978,13221,5
10248,12323,5
183,2639,5
1177,3921,5
269,1276,5
919,6235,5
844,851,5
857,877,5
681,3169,5
1223,1544,5
3901,3916,5
92,10377,5
5546,10107,5
2973,9069,5
3741,7810,5
2165,2190,5
758,1035,5
10938,10954,5
501,9152,5
6864,6893,5
5761,6017,5
6824,6870,5
4969,5706,5
438,5769,5
2032,4194,5
1831,3357,5
1730,7676,5
1563,3309,5
5219,10350,5
5530,6810,5
4410,5757,5
12809,12893,5
5766,6447,5
15121,15153,5
119,2004,5
61,3640,5
5703,5708,5
5707,5708,5
324,1095,5
758,785,5
328,381,5
328,382,5
751,758,5
778,799,5
726,727,5
705,749,5
330,360,5
8252,9742,5
2758,2783,5
1085,8339,5
822,8105,5
7640,7700,5
14021,14100,5
14750,14770,5
10445,10452,5
8509,8557,5
6453,7568,5
721,2200,5
4233,4288,5
108,649,5
7053,7556,5
2127,2138,5
13643,13671,5
6402,11823,5
13244,13525,5
2906,2941,5
905,2988,5
933,961,5
1837,2912,5
1315,2905,5
2441,8896,5
4541,9517,5
2197,3477,5
7661,9101,5
1591,11587,5
4957,5491,5
735,745,5
2758,8514,5
5435,8497,5
1641,3024,5
2515,8269,5
10212,10795,5
9784,9924,5
5408,8824,5
3706,3725,5
5139,5196,5
4903,6591,5
6707,8411,5
1296,7098,5
1413,7162,5
2532,2744,5
6180,7919,5
3117,9282,5
3759,9890,5
4042,5486,5
2941,5439,5
1696,5499,5
1464,4053,5
1562,9828,5
1246,1639,5
2489,3191,5
2560,3991,5
10271,10295,5
4609,4682,5
2278,3553,5
6776,9622,5
1276,4802,5
5566,7820,5
1029,11767,5
3671,3675,5
2108,2489,5
75,932,5
4453,4467,5
8215,13129,5
855,5056,5
8167,13215,5
5669,7507,5
1572,4903,5
3920,3940,5
3492,5422,5
9642,9677,5
9618,9628,5
6707,6745,5
5411,5442,5
10702,10776,5
11157,11199,5
2293,3563,5
203,5283,5
9676,9683,5
12553,12589,5
8961,9000,5
6923,12669,5
4744,5990,5
10229,12940,5
2697,2699,5
2522,2600,5
2655,3924,5
3966,3980,5
1561,1576,5
274,2586,5
3901,3940,5
1677,3184,5
2068,9834,5
8048,8363,5
6890,6892,5
8353,8385,5
3660,5287,5
2766,11123,5
3278,8297,5
726,7902,5
324,4481,5
6809,6858,5
6839,6898,5
4674,6869,5
6047,6878,5
2734,5720,5
165,3012,5
1146,7676,5
371,1309,5
935,5766,5
2886,6773,5
1853,4700,5
3672,3677,5
5702,5746,5
729,731,5
716,774,5
730,785,5
721,739,5
721,752,5
734,752,5
712,792,5
739,774,5
1976,3266,5
2303,7796,5
5319,6576,5
1616,1636,5
641,2123,5
2139,10797,5
14718,14731,5
4165,6584,5
13215,13579,5
6512,9327,5
4203,7384,5
1955,3970,5
1955,11243,5
5275,10632,5
8263,13203,5
3518,3582,5
4764,8291,5
1288,4331,5
940,2802,5
962,1315,5
1337,1391,5
1315,2912,5
334,337,5
272,3547,5
638,6554,5
246,286,5
3461,3491,5
942,8106,5
876,2162,5
6535,12323,5
5111,13218,5
5754,13249,5
5491,6067,5
8810,13218,5
6323,6857,5
2227,4536,5
6093,11946,5
11407,11474,5
1499,4092,5
4010,4032,5
3814,3883,5
290,1350,5
3569,3912,5
7627,8896,5
5923,5977,5
4076,9664,5
5383,9664,5
3332,9062,5
9862,10227,5
1077,3493,5
2964,4816,5
9238,9696,5
1446,1714,5
10784,12163,5
281,10384,5
7747,10541,5
1475,4170,5
320,13378,5
1371,5481,5
2759,5486,5
2783,4388,5
1484,5468,5
1484,4080,5
1314,4080,5
3510,3563,5
4420,9629,5
2281,3525,5
2288,3517,5
2653,7696,5
3991,4430,5
1586,3963,5
4404,4473,5
4980,4998,5
1617,4632,5
5053,5084,5
622,6776,5
5789,8411,5
1635,5505,5
5361,6802,5
5203,7418,5
211,10335,5
6335,8091,5
2378,3599,5
4188,10017,5
4737,6111,5
288,7349,5
11256,11272,5
932,2495,5
2097,2581,5
5361,5393,5
9409,9493,5
3312,4303,5
1190,6769,5
6827,8679,5
7327,7508,5
3257,8732,5
5434,5467,5
5574,9738,5
9493,9898,5
9601,9664,5
3844,9649,5
6858,10943,5
9010,9067,5
1328,2942,5
1375,1616,5
10731,10786,5
3364,3880,5
4543,9539,5
3180,4171,5
7350,8892,5
1562,11466,5
1330,2977,5
3426,3618,5
419,4611,5
4611,7718,5
455,5278,5
544,7059,5
6370,6382,5
1300,2560,5
293,3146,5
1298,1300,5
2699,3104,5
1800,1849,5
7770,7872,5
1329,7770,5
501,1753,5
1753,4070,5
4070,7995,5
950,6878,5
6824,6880,5
6814,6832,5
6814,6825,5
5620,6365,5
5232,5279,5
3637,4981,5
4283,5812,5
119,190,5
5736,5772,5
360,1023,5
730,778,5
721,792,5
731,793,5
706,793,5
743,771,5
743,768,5
366,381,5
721,733,5
351,1208,5
14733,14746,5
2205,2246,5
10402,10430,5
3090,7373,5
4210,8514,5
3875,11183,5
7959,9856,5
2043,2093,5
2105,2152,5
4054,7948,5
6752,7508,5
603,637,5
10858,10889,5
10640,13894,5
5012,13432,5
1770,10083,5
7321,12354,5
901,915,5
2541,3445,5
2504,9517,5
5225,5292,5
3436,3490,5
3405,3471,5
247,724,5
3690,8910,5
4415,4594,5
932,10731,5
4770,13249,5
7099,13218,5
6067,6591,5
13284,13561,5
42,9101,5
3688,5912,5
4896,7406,5
2358,3876,5
3178,6658,5
2323,3216,5
5941,5948,5
5919,5959,5
2504,5942,5
264,5374,5
2561,11957,5
2926,2973,5
6447,8961,5
10315,10397,5
736,4364,5
4337,8266,5
2532,4337,5
1064,10058,5
8596,10267,5
3021,3117,5
1505,8017,5
12614,13456,5
2939,5478,5
975,4339,5
2511,4080,5
4011,5438,5
8511,11914,5
9513,11930,5
10784,11147,5
2281,3523,5
2075,2288,5
10234,11803,5
2600,3600,5
6169,6177,5
1816,1891,5
1442,1481,5
1405,1481,5
10850,10873,5
4609,4690,5
4270,5672,5
5672,9628,5
187,4449,5
10479,10954,5
2378,2460,5
2503,5530,5
1617,4737,5
3029,11276,5
556,1927,5
556,9752,5
1343,5669,5
4534,5331,5
5390,9891,5
2100,3589,5
1272,2565,5
7508,12582,5
8732,10760,5
896,7381,5
4430,4647,5
2596,5450,5
2596,4903,5
4656,5082,5
2292,9043,5
12231,14011,5
3173,4209,5
4553,9624,5
1343,1384,5
2438,2478,5
5734,6783,5
1678,8475,5
4468,7868,5
3028,9645,5
2024,7898,5
3064,10778,5
61,5522,5
3518,11400,5
1437,6765,5
5611,6765,5
9650,9659,5
9822,9850,5
11874,11878,5
1263,2000,5
10795,10798,5
10726,10737,5
628,12486,5
10737,10788,5
10703,10788,5
843,894,5
2563,2586,5
2522,2531,5
266,1503,5
1645,3180,5
2655,3104,5
1542,1587,5
8255,8291,5
6805,7860,5
6787,7393,5
688,5321,5
7244,7280,5
2116,2155,5
2119,2162,5
2122,2155,5
8307,8373,5
11001,11049,5
4056,11194,5
5789,6097,5
5815,9749,5
3702,13638,5
4316,6874,5
6830,6854,5
5706,5964,5
5761,6039,5
3576,6817,5
6824,6844,5
959,6008,5
3120,6869,5
5788,6854,5
6829,6872,5
1191,8529,5
6558,8250,5
1531,7676,5
1730,1831,5
435,6458,5
8290,10548,5
4700,5766,5
2790,5766,5
5911,8402,5
1053,2886,5
1053,6294,5
14053,14075,5
5726,5760,5
803,4805,5
5730,5771,5
729,785,5
709,719,5
1021,1072,5
740,758,5
774,791,5
706,719,5
1458,2793,5
1976,3343,5
9623,11442,5
1351,4930,5
2204,2209,5
2207,2264,5
1769,8006,5
11243,11649,5
517,1365,5
11099,11513,5
2074,2093,5
7418,8146,5
249,7418,5
7364,11642,5
8270,8837,5
1914,1961,5
6148,6176,5
2754,2992,5
961,975,5
204,915,5
2482,5148,5
800,11186,5
9944,9999,5
2234,3611,5
290,3174,5
4178,4398,5
5111,6323,5
4957,7099,5
7721,8810,5
1769,9994,5
7172,7563,5
211,6372,5
4896,6927,5
6471,7983,5
5792,10473,5
4084,4377,5
1156,1167,5
5939,5965,5
7774,7784,5
2398,3080,5
5906,5914,5
5922,5997,5
937,5318,5
9157,11282,5
6447,10396,5
10346,10373,5
614,7076,5
237,5696,5
1041,4584,5
4082,5332,5
2604,13651,5
4584,5696,5
1666,4316,5
4080,5439,5
2759,5456,5
4044,5438,5
4399,5440,5
4339,5404,5
3502,3577,5
8765,9046,5
1562,9752,5
1020,11438,5
1994,3148,5
3361,10702,5
7837,11948,5
4059,4362,5
4690,4696,5
187,5683,5
625,6796,5
256,269,5
269,280,5
6507,9028,5
614,7677,5
4217,5132,5
3639,3648,5
6317,9359,5
2062,4713,5
6036,7836,5
9997,11272,5
5283,5796,5
3920,3998,5
3937,4523,5
6043,11562,5
9624,9684,5
2776,8209,5
1849,4774,5
4774,9699,5
10741,10753,5
10741,10771,5
11120,11175,5
2124,3180,5
3837,4641,5
7636,10690,5
3367,8621,5
132,6085,5
2092,2807,5
2625,10338,5
9970,9989,5
8960,8968,5
215,2510,5
1917,2745,5
6805,8775,5
1613,7039,5
2894,4086,5
11001,11073,5
4318,4728,5
7039,8297,5
11559,13638,5
997,1619,5
5481,6817,5
184,1619,5
5494,6848,5
6039,6870,5
950,6469,5
6839,6844,5
5761,6855,5
4373,5798,5
6844,6880,5
1024,10431,5
12050,12051,5
8093,8402,5
4904,6020,5
5590,8461,5
15122,15186,5
139,3612,5
2004,3653,5
768,1029,5
360,752,5
707,752,5
1038,1043,5
305,1045,5
305,707,5
733,737,5
330,354,5
737,785,5
1031,1038,5
381,1023,5
5476,5477,5
6613,6673,5
1818,2816,5
494,2669,5
242,4672,5
3798,10149,5
4321,4344,5
2233,2252,5
7951,11784,5
524,6121,5
1982,4147,5
332,10757,5
2385,13045,5
363,2251,5
1544,3743,5
6743,9932,5
350,2153,5
1314,1369,5
913,951,5
339,1015,5
979,9505,5
1838,1857,5
3475,3491,5
3421,3471,5
3421,3440,5
8818,11610,5
2387,4968,5
2548,11572,5
7555,9540,5
6323,10067,5
4770,8057,5
298,2176,5
22,7442,5
1504,7597,5
9022,9030,5
5613,10446,5
344,3957,5
4223,5885,5
5976,5990,5
5918,5990,5
4719,7001,5
1095,2247,5
1714,3907,5
281,3741,5
536,4142,5
1521,1828,5
5737,6441,5
3590,10371,5
10327,10329,5
1078,10371,5
736,863,5
728,10058,5
728,1378,5
9977,10253,5
241,728,5
1521,7859,5
1828,8836,5
320,1466,5
1466,4711,5
4009,5435,5
2789,5429,5
4053,5491,5
3528,3560,5
4070,11948,5
1240,6464,5
6121,6163,5
4617,4618,5
2886,6813,5
5482,6796,5
2262,3440,5
693,3107,5
7917,12787,5
2778,6336,5
2765,5616,5
9098,10594,5
1673,10328,5
7902,7910,5
4810,11483,5
1164,6783,5
5669,9752,5
932,4778,5
2560,5460,5
1662,2544,5
4646,6092,5
3208,3861,5
8180,10454,5
9619,9664,5
2405,2454,5
6783,8195,5
839,8194,5
2090,4034,5
1673,4171,5
1822,10702,5
2239,3589,5
2223,3589,5
4063,6410,5
1042,3979,5
12508,12540,5
8589,9212,5
12695,12697,5
3173,11613,5
795,5141,5
5380,12587,5
293,2563,5
1581,1587,5
1542,1581,5
1693,2514,5
574,4283,5
5668,7662,5
2137,2173,5
2145,2181,5
